FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\S-Gene-Translation-Alignment.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","Rousettus_madagascariensis","Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_-_S","Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_-_S"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_S"
"Ref","GX2018/BtCoV92","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_S"
"Query","Pteropus_rufus"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_S"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_S"


"CenterPos","Rousettus_madagascariensis","Eidolon_helvum","GX2018/BtCoV92","HKU9","GCCDC1"
"101","1.00","1.00","1.00","1.00","1.00"
"121","1.00","1.00","1.00","1.00","1.00"
"141","1.00","1.00","1.00","1.00","1.00"
"161","1.00","1.00","1.00","1.00","1.00"
"181","1.00","1.00","1.00","1.00","1.00"
"201","1.00","1.00","1.00","1.00","1.00"
"221","1.00","1.00","1.00","1.00","1.00"
"241","1.00","1.00","1.00","1.00","1.00"
"261","1.00","1.00","1.00","1.00","1.00"
"281","1.00","1.00","1.00","1.00","1.00"
"301","1.00","1.00","1.00","1.00","1.00"
"321","1.00","1.00","1.00","1.00","1.00"
"341","1.00","1.00","1.00","1.00","1.00"
"361","1.00","1.00","1.00","1.00","1.00"
"381","1.00","1.00","1.00","1.00","1.00"
"401","1.00","1.00","1.00","1.00","1.00"
"421","1.00","1.00","1.00","1.00","1.00"
"441","1.00","1.00","1.00","1.00","1.00"
"461","1.00","1.00","1.00","1.00","1.00"
"481","1.00","1.00","1.00","1.00","1.00"
"501","1.00","1.00","1.00","1.00","1.00"
"521","1.00","1.00","1.00","1.00","1.00"
"541","1.00","1.00","1.00","1.00","1.00"
"561","1.00","1.00","1.00","1.00","1.00"
"581","1.00","1.00","1.00","1.00","1.00"
"601","1.00","1.00","1.00","1.00","1.00"
"621","1.00","1.00","1.00","1.00","1.00"
"641","1.00","1.00","1.00","1.00","1.00"
"661","1.00","1.00","1.00","1.00","1.00"
"681","1.00","1.00","1.00","1.00","1.00"
"701","1.00","1.00","1.00","1.00","1.00"
"721","1.00","1.00","1.00","1.00","1.00"
"741","1.00","1.00","1.00","1.00","1.00"
"761","1.00","1.00","1.00","1.00","1.00"
"781","1.00","1.00","1.00","1.00","1.00"
"801","1.00","1.00","1.00","1.00","1.00"
"821","1.00","1.00","1.00","1.00","1.00"
"841","1.00","1.00","1.00","1.00","1.00"
"861","0.77","0.82","0.68","0.71","0.77"
"881","0.77","0.82","0.68","0.71","0.77"
"901","0.77","0.82","0.68","0.71","0.77"
"921","0.77","0.82","0.68","0.71","0.77"
"941","0.84","0.82","0.73","0.73","0.82"
"961","0.84","0.81","0.74","0.72","0.86"
"981","0.86","0.84","0.75","0.81","0.88"
"1001","0.86","0.88","0.77","0.82","0.88"
"1021","0.87","0.87","0.77","0.82","0.87"
"1041","0.90","0.88","0.78","0.82","0.88"
"1061","0.91","0.89","0.83","0.85","0.91"
"1081","0.89","0.87","0.80","0.80","0.88"
"1101","0.85","0.81","0.82","0.80","0.88"
"1121","0.86","0.82","0.80","0.79","0.87"
"1141","0.86","0.82","0.80","0.79","0.87"
"1161","0.86","0.82","0.80","0.79","0.87"
"1181","0.86","0.82","0.80","0.79","0.87"
"1201","0.86","0.82","0.80","0.79","0.87"
"1221","0.86","0.82","0.80","0.79","0.87"
