FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\N-Gene-Translation-Alignment.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","Rousettus_madagascariensis","Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_-_N","Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_-_N"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_N"
"Ref","GC2018-BtCoV92","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_N"
"Query","Pteropus_rufus"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_N"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_N"


"CenterPos","Rousettus_madagascariensis","Eidolon_helvum","GC2018-BtCoV92","GCCDC1","HKU9"
"101","1.00","1.00","1.00","1.00","1.00"
"121","0.83","0.85","0.85","0.81","0.88"
"141","0.83","0.85","0.85","0.82","0.87"
"161","0.83","0.85","0.87","0.85","0.90"
"181","0.82","0.82","0.86","0.83","0.88"
"201","0.85","0.83","0.86","0.84","0.89"
"221","0.86","0.84","0.88","0.86","0.90"
"241","0.84","0.82","0.86","0.84","0.86"
"261","0.82","0.80","0.85","0.83","0.85"
"281","0.86","0.84","0.84","0.83","0.84"
"301","0.86","0.84","0.84","0.84","0.84"
"321","0.86","0.84","0.84","0.84","0.84"
"341","0.86","0.84","0.84","0.84","0.84"
"361","0.86","0.84","0.84","0.84","0.84"
"381","0.86","0.84","0.84","0.84","0.84"
