FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\M-Gene-Translation-Alignment.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","Rousettus_madagascariensis"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_M"
"Ref","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_M","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_M"
"Ref","Pteropus_rufus","Pteropus_rufus_RR034B_010_fecRa_AMB130_-_M"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_M"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_M"


"CenterPos","Eidolon_helvum","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_M","Pteropus_rufus","HKU9","GCCDC1"
"101","0.99","0.84","0.70","0.81","0.80"
"121","0.99","0.85","0.72","0.79","0.80"
