tip_label,accession_num,strain,host,bat_host,country,collection_date,collection_year,title,sub_group
AC_000192_1_Murine_hepatitis_virus_strain_JHM__complete_genome,AC_000192,NA,NA,0,NA,NA,NA,Murine hepatitis virus strain JHM,Embecovirus
DQ071615_1_Bat_SARS_coronavirus_Rp3__complete_genome,DQ071615,NA,bat,1,China,NA,NA,Bat SARS coronavirus Rp3,Sarbecovirus
DQ412042_1_Bat_SARS_coronavirus_Rf1__complete_genome,DQ412042,NA,Rhinolophus_ferrumequinum,1,NA,NA,NA,Bat SARS coronavirus Rf1,Sarbecovirus
DQ412043_1_Bat_SARS_coronavirus_Rm1__complete_genome,DQ412043,NA,Rhinolophus_macrotis,1,NA,NA,NA,Bat SARS coronavirus Rm1,Sarbecovirus
DQ648794_1_Bat_coronavirus__BtCoV_133_2005___complete_genome,DQ648794,BtCoV/133/2005,NA,0,NA,NA,NA,Bat coronavirus (BtCoV/133/2005),Merbecovirus
EF065505_1_Bat_coronavirus_HKU4_1__complete_genome,EF065505,B04f,bat,1,China,NA,NA,Bat coronavirus HKU4-1,Merbecovirus
EF065506_1_Bat_coronavirus_HKU4_2__complete_genome,EF065506,B05f,bat,1,China,NA,NA,Bat coronavirus HKU4-2,Merbecovirus
EF065507_1_Bat_coronavirus_HKU4_3__complete_genome,EF065507,B07f,bat,1,China,NA,NA,Bat coronavirus HKU4-3,Merbecovirus
EF065508_1_Bat_coronavirus_HKU4_4__complete_genome,EF065508,LMH1f,bat,1,China,NA,NA,Bat coronavirus HKU4-4,Merbecovirus
EF065509_1_Bat_coronavirus_HKU5_1__complete_genome,EF065509,LMH03f,bat,1,China,NA,NA,Bat coronavirus HKU5-1,Merbecovirus
EF065510_1_Bat_coronavirus_HKU5_2__complete_genome,EF065510,TT03f,bat,1,China,NA,NA,Bat coronavirus HKU5-2,Merbecovirus
EF065511_1_Bat_coronavirus_HKU5_3__complete_genome,EF065511,TT06f,bat,1,China,NA,NA,Bat coronavirus HKU5-3,Merbecovirus
EF065512_1_Bat_coronavirus_HKU5_5__complete_genome,EF065512,TT07f,bat,1,China,NA,NA,Bat coronavirus HKU5-5,Merbecovirus
EF065513_1_Bat_coronavirus_HKU9-1__complete_genome,EF065513,BF_005I,bat,1,China,NA,NA,Bat coronavirus HKU9-1,Nobecovirus
EF065514_1_Bat_coronavirus_HKU9-2__complete_genome,EF065514,BF_017I,bat,1,China,NA,NA,Bat coronavirus HKU9-2,Nobecovirus
EF065515_1_Bat_coronavirus_HKU9-3__complete_genome,EF065515,BF_493I,bat,1,China,NA,NA,Bat coronavirus HKU9-3,Nobecovirus
EF065516_1_Bat_coronavirus_HKU9-4__complete_genome,EF065516,BF_141I,bat,1,China,NA,NA,Bat coronavirus HKU9-4,Nobecovirus
EF203064_1_Bat_coronavirus_HKU2_strain_HKU2_GD_430_2006__complete_genome,EF203064,HKU2/GD/430/2006,NA,1,NA,NA,NA,Bat coronavirus HKU2 strain HKU2/GD/430/2006,Alphacoronavirus
EF203065_1_Bat_coronavirus_HKU2_strain_HKU2_HK_46_2006__complete_genome,EF203065,HKU2/HK/46/2006,NA,1,NA,NA,NA,Bat coronavirus HKU2 strain HKU2/HK/46/2006,Alphacoronavirus
EF203066_1_Bat_coronavirus_HKU2_strain_HKU2_HK_298_2006__complete_genome,EF203066,HKU2/HK/298/2006,NA,1,NA,NA,NA,Bat coronavirus HKU2 strain HKU2/HK/298/2006,Alphacoronavirus
EF203067_1_Bat_coronavirus_HKU2_strain_HKU2_HK_33_2006__complete_genome,EF203067,HKU2/HK/33/2006,NA,1,NA,NA,NA,Bat coronavirus HKU2 strain HKU2/HK/33/2006,Alphacoronavirus
EU420137_1_Bat_coronavirus_1B_strain_AFCD307__complete_genome,EU420137,AFCD307,NA,1,Hong_Kong,NA,NA,Bat coronavirus 1B strain AFCD307,Alphacoronavirus
EU420138_1_Miniopterus_bat_coronavirus_1__complete_genome,EU420138,AFCD62,NA,1,Hong_Kong,NA,NA,Miniopterus bat coronavirus 1,Alphacoronavirus
EU420139_1_Bat_coronavirus_HKU8_strain_AFCD77__complete_genome,EU420139,AFCD77,NA,1,Hong_Kong,NA,NA,Bat coronavirus HKU8 strain AFCD77,Alphacoronavirus
FJ588686_1_Bat_SARS_CoV_Rs672_2006__complete_genome,FJ588686,NA,Rhinolophus_sinicus,1,China,2006,2006,Bat SARS CoV Rs672/2006,Sarbecovirus
GU190215_1_Bat_coronavirus_BM48-31_BGR_2008__complete_genome,GU190215,BtCoV/BM48-31/BGR/2008,Rhinolophus_blasii,1,Bulgaria,2008,2008,Bat coronavirus BM48-31/BGR/2008,Sarbecovirus
HM211098_1_Bat_coronavirus_HKU9-5_1__complete_genome,HM211098,NA,bat_BF_258I,1,China,11-Dec-05,2005,Bat coronavirus HKU9-5-1,Nobecovirus
HM211099_1_Bat_coronavirus_HKU9-5_2__complete_genome,HM211099,NA,bat_BF_258I,1,China,11-Dec-05,2005,Bat coronavirus HKU9-5-2,Nobecovirus
HM211100_1_Bat_coronavirus_HKU9-10_1__complete_genome,HM211100,NA,bat_BF_506I,1,China,10-Apr-06,2006,Bat coronavirus HKU9-10-1,Nobecovirus
HM211101_1_Bat_coronavirus_HKU9-10_2__complete_genome,HM211101,NA,bat_BF_506I,1,China,10-Apr-06,2006,Bat coronavirus HKU9-10-2,Nobecovirus
JQ989266_1_Hipposideros_bat_coronavirus_HKU10_isolate_TT3A__complete_genome,JQ989266,NA,bat,1,Hong_Kong,6-Dec,2021,Hipposideros bat coronavirus HKU10 isolate TT3A,Alphacoronavirus
JQ989267_1_Hipposideros_bat_coronavirus_HKU10_isolate_SL12A__complete_genome,JQ989267,NA,bat,1,Hong_Kong,6-Dec,2021,Hipposideros bat coronavirus HKU10 isolate SL12A,Alphacoronavirus
JQ989268_1_Hipposideros_bat_coronavirus_HKU10_isolate_TLC1310A__complete_genome,JQ989268,NA,bat,1,Hong_Kong,6-Oct,2021,Hipposideros bat coronavirus HKU10 isolate TLC1310A,Alphacoronavirus
JQ989269_1_Hipposideros_bat_coronavirus_HKU10_isolate_LSH5A__complete_genome,JQ989269,NA,bat,1,Hong_Kong,5-Dec,2021,Hipposideros bat coronavirus HKU10 isolate LSH5A,Alphacoronavirus
JQ989270_1_Rousettus_bat_coronavirus_HKU10_isolate_183A__complete_genome,JQ989270,NA,bat,1,China,5-Oct,2021,Rousettus bat coronavirus HKU10 isolate 183A,Alphacoronavirus
JQ989271_1_Rousettus_bat_coronavirus_HKU10_isolate_175A__complete_genome,JQ989271,NA,bat,1,China,5-Oct,2021,Rousettus bat coronavirus HKU10 isolate 175A,Alphacoronavirus
JQ989272_1_Hipposideros_bat_coronavirus_HKU10_isolate_TLC1343A__complete_genome,JQ989272,NA,bat,1,Hong_Kong,10-Aug,2021,Hipposideros bat coronavirus HKU10 isolate TLC1343A,Alphacoronavirus
JQ989273_1_Hipposideros_bat_coronavirus_HKU10_isolate_TLC1347A__complete_genome,JQ989273,NA,bat,1,Hong_Kong,10-Aug,2021,Hipposideros bat coronavirus HKU10 isolate TLC1347A,Alphacoronavirus
JX993987_1_Bat_coronavirus_Rp_Shaanxi2011__complete_genome,JX993987,NA,Rhinolophus_pusillus,1,China,11-Sep,2021,Bat coronavirus Rp/Shaanxi2011,Sarbecovirus
JX993988_1_Bat_coronavirus_Cp_Yunnan2011__complete_genome,JX993988,NA,Chaerephon_plicata,1,China,2011,2011,Bat coronavirus Cp/Yunnan2011,Sarbecovirus
KC869678_4_Coronavirus_Neoromicia_PML-PHE1_RSA_2011__complete_genome,KC869678,Neoromicia/PML-PHE1/RSA/2011,Neoromicia_capensis,0,South_Africa,2011,2011,Coronavirus Neoromicia/PML-PHE1/RSA/2011,Merbecovirus
KC881005_1_Bat_SARS_like_coronavirus_RsSHC014__complete_genome,KC881005,NA,Rhinolophus_sinicus,1,China,17-Apr-11,2011,Bat SARS-like coronavirus RsSHC014,Sarbecovirus
KC881006_1_Bat_SARS_like_coronavirus_Rs3367__complete_genome,KC881006,NA,Rhinolophus_sinicus,1,China,19-Mar-12,2012,Bat SARS-like coronavirus Rs3367,Sarbecovirus
KF367457_1_Bat_SARS_like_coronavirus_WIV1__complete_genome,KF367457,NA,Rhinolophus_sinicus,1,China,12-Sep,2021,Bat SARS-like coronavirus WIV1,Sarbecovirus
KF430219_1_Bat_coronavirus_CDPHE15_USA_2006__complete_genome,KF430219,bat/USA/CDPHE15/2006,Myotis_lucifugus,1,USA,7-Aug-06,2006,Bat coronavirus CDPHE15/USA/2006,Alphacoronavirus
KF569996_1_Rhinolophus_affinis_coronavirus_isolate_LYRa11__complete_genome,KF569996,NA,Rhinolophus_affinis,1,China,2011,2011,Rhinolophus affinis coronavirus isolate LYRa11,Sarbecovirus
KF636752_1_Bat_Hp-betacoronavirus_Zhejiang2013__complete_genome,KF636752,NA,Hipposideros_pratti,1,China,29-Apr-13,2013,Bat Hp-betacoronavirus/Zhejiang2013,Hibecovirus
KJ473795_1_BtMf-AlphaCoV_AH2011__complete_genome,KJ473795,NA,Miniopterus_fuliginosus,1,China,2011,2011,BtMf-AlphaCoV/AH2011,Alphacoronavirus
KJ473796_1_BtMf-AlphaCoV_JX2012__complete_genome,KJ473796,NA,Miniopterus_fuliginosus,1,China,2012,2012,BtMf-AlphaCoV/JX2012,Alphacoronavirus
KJ473797_1_BtMf-AlphaCoV_GD2012__complete_genome,KJ473797,NA,Miniopterus_fuliginosus,1,China,2012,2012,BtMf-AlphaCoV/GD2012,Alphacoronavirus
KJ473798_1_BtMf-AlphaCoV_HuB2013__complete_genome,KJ473798,NA,Miniopterus_fuliginosus,1,China,2013,2013,BtMf-AlphaCoV/HuB2013,Alphacoronavirus
KJ473799_1_BtMf-AlphaCoV_FJ2012__complete_genome,KJ473799,NA,Miniopterus_fuliginosus,1,China,2012,2012,BtMf-AlphaCoV/FJ2012,Alphacoronavirus
KJ473800_1_BtMf-AlphaCoV_HeN2013__complete_genome,KJ473800,NA,Miniopterus_fuliginosus,1,China,2013,2013,BtMf-AlphaCoV/HeN2013,Alphacoronavirus
KJ473806_1_BtMR_AlphaCoV_SAX2011__complete_genome,KJ473806,NA,Myotis_ricketti,1,China,2011,2011,BtMr-AlphaCoV/SAX2011,Alphacoronavirus
KJ473807_1_BtRf-AlphaCoV_HuB2013__complete_genome,KJ473807,NA,Rhinolophus_ferrumequinum,1,China,2013,2013,BtRf-AlphaCoV/HuB2013,Alphacoronavirus
KJ473808_1_BtRf-AlphaCoV_YN2012__complete_genome,KJ473808,NA,Rhinolophus_ferrumequinum,1,China,2012,2012,BtRf-AlphaCoV/YN2012,Alphacoronavirus
KJ473809_1_BtNV_AlphaCoV_SC2013__complete_genome,KJ473809,NA,Nyctalus_velutinus,1,China,2013,2013,BtNv-AlphaCoV/SC2013,Alphacoronavirus
KJ473810_1_BtMs-AlphaCoV_GS2013__complete_genome,KJ473810,NA,Myotis_sp.,1,China,2013,2013,BtMs-AlphaCoV/GS2013,Alphacoronavirus
KJ473811_1_BtRf-BetaCoV_JL2012__complete_genome,KJ473811,NA,Rhinolophus_ferrumequinum,1,China,2012,2012,BtRf-BetaCoV/JL2012,Sarbecovirus
KJ473812_1_BtRf-BetaCoV_HeB2013__complete_genome,KJ473812,NA,Rhinolophus_ferrumequinum,1,China,2013,2013,BtRf-BetaCoV/HeB2013,Sarbecovirus
KJ473813_1_BtRf-BetaCoV_SX2013__complete_genome,KJ473813,NA,Rhinolophus_ferrumequinum,1,China,2013,2013,BtRf-BetaCoV/SX2013,Sarbecovirus
KJ473814_1_BtRs_BetaCoV_HuB2013__complete_genome,KJ473814,NA,Rhinolophus_sinicus,1,China,2013,2013,BtRs-BetaCoV/HuB2013,Sarbecovirus
KJ473815_1_BtRs_BetaCoV_GX2013__complete_genome,KJ473815,NA,Rhinolophus_sinicus,1,China,2013,2013,BtRs-BetaCoV/GX2013,Sarbecovirus
KJ473816_1_BtRs_BetaCoV_YN2013__complete_genome,KJ473816,NA,Rhinolophus_sinicus,1,China,2013,2013,BtRs-BetaCoV/YN2013,Sarbecovirus
KJ473820_1_BtPa-BetaCoV_GD2013__complete_genome,KJ473820,NA,Pipistrellus_abramus,1,China,2013,2013,BtPa-BetaCoV/GD2013,Merbecovirus
KJ473821_1_BtVs-BetaCoV_SC2013__complete_genome,KJ473821,NA,Vespertilio_superans,1,China,NA,NA,BtVs-BetaCoV/SC2013,Merbecovirus
KJ473822_1_BtTp-BetaCoV_GX2012__complete_genome,KJ473822,NA,Tylonycteris_pachypus,1,China,2012,2012,BtTp-BetaCoV/GX2012,Merbecovirus
KP886808_1_Bat_SARS_like_coronavirus_YNLF_31C__complete_genome,KP886808,NA,Rhinolophus_ferrumequinum,1,China,23-May-13,2013,Bat SARS-like coronavirus YNLF_31C,Sarbecovirus
KP886809_1_Bat_SARS_like_coronavirus_YNLF_34C__complete_genome,KP886809,NA,Rhinolophus_ferrumequinum,1,China,23-May-13,2013,Bat SARS-like coronavirus YNLF_34C,Sarbecovirus
KT444582_1_SARS_like_coronavirus_WIV16__complete_genome,KT444582,NA,Rhinolophus_sinicus,1,China,21-Jul-13,2013,SARS-like coronavirus WIV16,Sarbecovirus
KU762338_1_Rousettus_bat_coronavirus_isolate_GCCDC1_356__complete_genome,KU762338,NA,Rousettus_leschenaulti,1,China,28-May-14,2014,Rousettus bat coronavirus isolate GCCDC1 356,Nobecovirus
KU973692_1_UNVERIFIED__SARS_related_coronavirus_isolate_F46__complete_genome,KU973692,NA,bat,1,China,2012,2013,UNVERIFIED: SARS-related coronavirus isolate F46,Sarbecovirus
KX442564_1_Hypsugo_bat_coronavirus_HKU25_isolate_YD131305__complete_genome,KX442564,NA,Hypsugo_pulveratus,1,China,14-Sep-13,2013,Hypsugo bat coronavirus HKU25 isolate YD131305,Merbecovirus
KX442565_1_Hypsugo_bat_coronavirus_HKU25_isolate_NL140462__complete_genome,KX442565,NA,Hypsugo_pulveratus,1,China,8-May-14,2014,Hypsugo bat coronavirus HKU25 isolate NL140462,Merbecovirus
KY073744_1_NL63_related_bat_coronavirus_strain_BtKYNL63_9a__complete_genome,KY073744,BtKYNL63-9a,Triaenops_afer,1,Kenya,21-Jun-10,2010,NL63-related bat coronavirus strain BtKYNL63-9a,Alphacoronavirus
KY073745_1_NL63_related_bat_coronavirus_strain_BtKYNL63_9b__complete_genome,KY073745,BtKYNL63-9b,Triaenops_afer,1,Kenya,21-Jun-10,2010,NL63-related bat coronavirus strain BtKYNL63-9b,Alphacoronavirus
KY073746_1_NL63_related_bat_coronavirus_strain_BtKYNL63_15__complete_genome,KY073746,BtKYNL63-15,Triaenops_afer,1,Kenya,6-Aug-08,2008,NL63-related bat coronavirus strain BtKYNL63-15,Alphacoronavirus
KY073747_1_229E_related_bat_coronavirus_strain_BtKY229E_1__complete_genome,KY073747,BtKY229E-1,Hipposideros_sp.,1,Kenya,20-Jun-09,2009,229E-related bat coronavirus strain BtKY229E-1,Alphacoronavirus
KY073748_1_229E_related_bat_coronavirus_strain_BtKY229E_8__complete_genome,KY073748,BtKY229E-8,Hipposideros_vittatus,1,Kenya,10-Jun,2021,229E-related bat coronavirus strain BtKY229E-8,Alphacoronavirus
KY352407_1_Severe_acute_respiratory_syndrome_related_coronavirus_strain_BtKY72__complete_genome,KY352407,BtKY72,Rhinolophus_sp.,1,Kenya,7-Aug,2021,Severe acute respiratory syndrome-related coronavirus strain BtKY72,Sarbecovirus
KY417142_1_Bat_SARS_like_coronavirus_isolate_As6526__complete_genome,KY417142,NA,Aselliscus_stoliczkanus,1,China,12-May-14,2014,Bat SARS-like coronavirus isolate As6526,Sarbecovirus
KY417143_1_Bat_SARS_like_coronavirus_isolate_Rs4081__complete_genome,KY417143,NA,Rhinolophus_sinicus,1,China,18-Sep-12,2012,Bat SARS-like coronavirus isolate Rs4081,Sarbecovirus
KY417144_1_Bat_SARS_like_coronavirus_isolate_Rs4084__complete_genome,KY417144,NA,Rhinolophus_sinicus,1,China,18-Sep-12,2012,Bat SARS-like coronavirus isolate Rs4084,Sarbecovirus
KY417145_1_Bat_SARS_like_coronavirus_isolate_Rf4092__complete_genome,KY417145,NA,Rhinilophus_ferrumequinum,1,China,18-Sep-12,2012,Bat SARS-like coronavirus isolate Rf4092,Sarbecovirus
KY417146_1_Bat_SARS_like_coronavirus_isolate_Rs4231__complete_genome,KY417146,NA,Rhinolophus_sinicus,1,China,17-Apr-13,2013,Bat SARS-like coronavirus isolate Rs4231,Sarbecovirus
KY417147_1_Bat_SARS_like_coronavirus_isolate_Rs4237__complete_genome,KY417147,NA,Rhinolophus_sinicus,1,China,17-Apr-13,2013,Bat SARS-like coronavirus isolate Rs4237,Sarbecovirus
KY417148_1_Bat_SARS_like_coronavirus_isolate_Rs4247__complete_genome,KY417148,NA,Rhinolophus_sinicus,1,China,17-Apr-13,2013,Bat SARS-like coronavirus isolate Rs4247,Sarbecovirus
KY417149_1_Bat_SARS_like_coronavirus_isolate_Rs4255__complete_genome,KY417149,NA,Rhinolophus_sinicus,1,China,17-Apr-13,2013,Bat SARS-like coronavirus isolate Rs4255,Sarbecovirus
KY417150_1_Bat_SARS_like_coronavirus_isolate_Rs4874__complete_genome,KY417150,NA,Rhinolophus_sinicus,1,China,21-Jul-13,2013,Bat SARS-like coronavirus isolate Rs4874,Sarbecovirus
KY417151_1_Bat_SARS_like_coronavirus_isolate_Rs7327__complete_genome,KY417151,NA,Rhinolophus_sinicus,1,China,24-Oct-14,2014,Bat SARS-like coronavirus isolate Rs7327,Sarbecovirus
KY417152_1_Bat_SARS_like_coronavirus_isolate_Rs9401__complete_genome,KY417152,NA,Rhinolophus_sinicus,1,China,16-Oct-15,2015,Bat SARS-like coronavirus isolate Rs9401,Sarbecovirus
KY799179_1_Myotis_lucifugus_coronavirus__complete_genome,KY799179,NA,Myotis_lucifugus,1,Canada,10-Nov,2021,Myotis lucifugus coronavirus,Alphacoronavirus
