Accession,Species,Sequence_Type,Nuc_Completeness,Geo_Location,USA,Host,Collection_Date
JX503060,Human coronavirus 229E,GenBank,complete,Netherlands,,Homo sapiens,2010
KF267450,Porcine epidemic diarrhea virus,GenBank,complete,USA: CO,CO,Sus scrofa,2013-05-29
MF769440,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
KR003452,Porcine epidemic diarrhea virus,GenBank,complete,Belgium,,Sus scrofa,2015-01
MN611522,Rhinolophus affinis bat coronavirus HKU2-related,GenBank,complete,China,,Rhinolophus affinis,2018-03
MN611523,Hipposideros pomona bat coronavirus HKU10-related,GenBank,complete,China,,Hipposideros pomona,2018-03
MN611524,Miniopterus schreibersii bat coronavirus 1-related,GenBank,complete,China,,Miniopterus schreibersii,2018-03
MF769423,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
JQ989271,Bat coronavirus HKU10,GenBank,complete,China,,Chiroptera,2005-10
MF769424,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
NC_018871,Bat coronavirus HKU10,RefSeq,complete,China,,Chiroptera,2005-10
JQ989270,Bat coronavirus HKU10,GenBank,complete,China,,Chiroptera,2005-10
MF769430,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MF769439,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MF769425,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MF769419,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
KP861982,Porcine epidemic diarrhea virus,GenBank,complete,South Korea: Seoul,,Sus scrofa,2015-01-16
MF769431,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MF769422,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MF769418,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MF769421,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MH817484,Feline alphacoronavirus 1,GenBank,complete,Brazil,,Felis catus,2015
MF769420,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MF769436,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
KP143512,Alphacoronavirus 1,GenBank,complete,United Kingdom,,Felis catus,2013-01-01
MF769429,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
KP143507,Alphacoronavirus 1,GenBank,complete,United Kingdom,,Felis catus,2013-01-01
KP143508,Alphacoronavirus 1,GenBank,complete,United Kingdom,,Felis catus,2013-01-01
MF769417,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MF769435,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MF769434,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MW165329,Porcine epidemic diarrhea virus,GenBank,complete,Taiwan,,Sus scrofa,2013-07-01
MF769433,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MW165327,Porcine epidemic diarrhea virus,GenBank,complete,Taiwan,,Sus scrofa,2014-01-21
MW165328,Porcine epidemic diarrhea virus,GenBank,complete,Taiwan,,Sus scrofa,2014-01-21
MF769438,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MF769428,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MF769437,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
MN611517,Rousettus aegyptiacus bat coronavirus 229E-related,GenBank,complete,Kenya,,Rousettus aegyptiacus,2018-03
MF769416,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
KP143509,Alphacoronavirus 1,GenBank,complete,United Kingdom,,Felis catus,2013-01-01
MN611518,Miniopterus pusillus bat coronavirus HKU8-related,GenBank,complete,China,,Miniopterus pusillus,2018-03
KP143510,Alphacoronavirus 1,GenBank,complete,United Kingdom,,Felis catus,2013-01-01
MF769427,Swine acute diarrhea syndrome coronavirus,GenBank,complete,China,,Sus scrofa,2017
NC_002306,Alphacoronavirus 1,RefSeq,complete,USA,,,
AY994055,Alphacoronavirus 1,GenBank,complete,USA,,,
MW030109,Alphacoronavirus 1,GenBank,complete,USA,,Felis catus,2018-05
